Individual,Plot,Damage_rating_5_point_scale,Holdfast_presence_absence,Treatment,Spring_scale_reading_kg,Initial_mass_g,Amputated_mass_g,Per_amputated_mass,Initial_length_cm,Amputated_length_cm,Per_amputated_length,Blade_number,Initial_blade_length_cm,Initial_hole_length_cm,Final_hole_length_cm,Growth_cm,Average_growth_cm,Mass_remaining_g,Length_remaining_cm
23,2,1,Present,1,,2300,0,0,489,0,0,5,40,10,12.5,2.5,,2300,489
24,2,1,Absent,2,8.9,2900,1354,0.466896552,1032,874,0.846899225,1,40,10,12.4,2.4,2.3,1546,158
24,2,1,Absent,2,,2900,1354,0.466896552,1032,874,0.846899225,2,40,10,11.7,1.7,,1546,158
24,2,1,Absent,2,,2900,1354,0.466896552,1032,874,0.846899225,3,40,10,12.4,2.4,,1546,158
24,2,1,Absent,2,,2900,1354,0.466896552,1032,874,0.846899225,4,40,10,12.6,2.6,,1546,158
24,2,1,Absent,2,,2900,1354,0.466896552,1032,874,0.846899225,5,40,10,12.4,2.4,,1546,158
25,2,1,Present,1,8.55,2550,0,0,404,0,0,1,40,10,14.8,4.8,3.76,2550,404
25,2,1,Present,1,,2550,0,0,404,0,0,2,40,10,14.4,4.4,,2550,404
25,2,1,Present,1,,2550,0,0,404,0,0,3,40,10,13.5,3.5,,2550,404
25,2,1,Present,1,,2550,0,0,404,0,0,4,40,10,12.8,2.8,,2550,404
25,2,1,Present,1,,2550,0,0,404,0,0,5,40,10,13.3,3.3,,2550,404
26,2,0,Present,2,10.5,4500,2530,0.562222222,1047,898,0.857688634,1,40,10,13.7,3.7,3.4,1970,149
26,2,0,Present,2,,4500,2530,0.562222222,1047,898,0.857688634,2,40,10,12.8,2.8,,1970,149
26,2,0,Present,2,,4500,2530,0.562222222,1047,898,0.857688634,3,40,10,13.9,3.9,,1970,149
26,2,0,Present,2,,4500,2530,0.562222222,1047,898,0.857688634,4,40,10,13.1,3.1,,1970,149
26,2,0,Present,2,,4500,2530,0.562222222,1047,898,0.857688634,5,40,10,13.5,3.5,,1970,149
27,2,1,Present,2,9.2,3200,1068,0.33375,980,818,0.834693878,1,40,10,11.3,1.3,2.4,2132,162
27,2,1,Present,2,,3200,1068,0.33375,980,818,0.834693878,2,40,10,12.7,2.7,,2132,162
27,2,1,Present,2,,3200,1068,0.33375,980,818,0.834693878,3,40,10,12.3,2.3,,2132,162
27,2,1,Present,2,,3200,1068,0.33375,980,818,0.834693878,4,40,10,12.4,2.4,,2132,162
27,2,1,Present,2,,3200,1068,0.33375,980,818,0.834693878,5,40,10,13.3,3.3,,2132,162
28,2,1,Present,3,9.6,3600,3485,0.968055556,512,507,0.990234375,1,40,10,12.3,2.3,2.88,115,5
28,2,1,Present,3,,3600,3485,0.968055556,512,507,0.990234375,2,40,10,12.7,2.7,,115,5
28,2,1,Present,3,,3600,3485,0.968055556,512,507,0.990234375,3,40,10,12.4,2.4,,115,5
28,2,1,Present,3,,3600,3485,0.968055556,512,507,0.990234375,4,40,10,13.3,3.3,,115,5
28,2,1,Present,3,,3600,3485,0.968055556,512,507,0.990234375,5,40,10,13.7,3.7,,115,5
29,2,0,Present,1,8.1,2100,0,0,1078,0,0,1,40,10,,,,2100,1078
29,2,0,Present,1,,2100,0,0,1078,0,0,2,40,10,,,,2100,1078
29,2,0,Present,1,,2100,0,0,1078,0,0,3,40,10,,,,2100,1078
29,2,0,Present,1,,2100,0,0,1078,0,0,4,40,10,,,,2100,1078
29,2,0,Present,1,,2100,0,0,1078,0,0,5,40,10,,,,2100,1078
30,2,3,Present,1,7.4,1400,0,0,1078,0,0,1,40,10,10.8,0.8,0.66,1400,1078
30,2,3,Present,1,,1400,0,0,1078,0,0,2,40,10,10.6,0.6,,1400,1078
30,2,3,Present,1,,1400,0,0,1078,0,0,3,40,10,10.4,0.4,,1400,1078
30,2,3,Present,1,,1400,0,0,1078,0,0,4,40,10,10.7,0.7,,1400,1078
30,2,3,Present,1,,1400,0,0,1078,0,0,5,40,10,10.8,0.8,,1400,1078
31,2,1,Present,2,7.8,1800,536,0.297777778,963,804,0.834890966,1,40,10,,,,1264,159
31,2,1,Present,2,,1800,536,0.297777778,963,804,0.834890966,2,40,10,,,,1264,159
31,2,1,Present,2,,1800,536,0.297777778,963,804,0.834890966,3,40,10,,,,1264,159
31,2,1,Present,2,,1800,536,0.297777778,963,804,0.834890966,4,40,10,,,,1264,159
31,2,1,Present,2,,1800,536,0.297777778,963,804,0.834890966,5,40,10,,,,1264,159
32,2,0,Present,3,8.2,2200,1922,0.873636364,1004,998,0.994023904,1,40,10,11.2,1.2,1,278,6
32,2,0,Present,3,,2200,1922,0.873636364,1004,998,0.994023904,2,40,10,10.7,0.7,,278,6
32,2,0,Present,3,,2200,1922,0.873636364,1004,998,0.994023904,3,40,10,11.5,1.5,,278,6
32,2,0,Present,3,,2200,1922,0.873636364,1004,998,0.994023904,4,40,10,10.5,0.5,,278,6
32,2,0,Present,3,,2200,1922,0.873636364,1004,998,0.994023904,5,40,10,11.1,1.1,,278,6
33,3,1,Absent,1,7.4,1400,0,0,758,0,0,1,40,10,,,,1400,758
33,3,1,Absent,1,,1400,0,0,758,0,0,2,40,10,,,,1400,758
33,3,1,Absent,1,,1400,0,0,758,0,0,3,40,10,,,,1400,758
33,3,1,Absent,1,,1400,0,0,758,0,0,4,40,10,,,,1400,758
33,3,1,Absent,1,,1400,0,0,758,0,0,5,40,10,,,,1400,758
34,3,4,Absent,2,7.39,1390,100,0.071942446,242,82,0.338842975,1,40,10,13.7,3.7,4.08,1290,160
34,3,4,Absent,2,,1390,100,0.071942446,242,82,0.338842975,2,40,10,13.9,3.9,,1290,160
34,3,4,Absent,2,,1390,100,0.071942446,242,82,0.338842975,3,40,10,13.5,3.5,,1290,160
34,3,4,Absent,2,,1390,100,0.071942446,242,82,0.338842975,4,40,10,15.5,5.5,,1290,160
34,3,4,Absent,2,,1390,100,0.071942446,242,82,0.338842975,5,40,10,13.8,3.8,,1290,160
35,3,0,Absent,3,6.994,994,724,0.728370221,373,368,0.986595174,1,40,10,13.6,3.6,3.64,270,5
35,3,0,Absent,3,,994,724,0.728370221,373,368,0.986595174,2,40,10,13.2,3.2,,270,5
35,3,0,Absent,3,,994,724,0.728370221,373,368,0.986595174,3,40,10,13.9,3.9,,270,5
35,3,0,Absent,3,,994,724,0.728370221,373,368,0.986595174,4,40,10,13.7,3.7,,270,5
35,3,0,Absent,3,,994,724,0.728370221,373,368,0.986595174,5,40,10,13.8,3.8,,270,5
36,3,1,Absent,3,7.628,1628,1296,0.796068796,332,329,0.990963855,1,40,10,,,,332,3
36,3,1,Absent,3,,1628,1296,0.796068796,332,329,0.990963855,2,40,10,,,,332,3
36,3,1,Absent,3,,1628,1296,0.796068796,332,329,0.990963855,3,40,10,,,,332,3
36,3,1,Absent,3,,1628,1296,0.796068796,332,329,0.990963855,4,40,10,,,,332,3
36,3,1,Absent,3,,1628,1296,0.796068796,332,329,0.990963855,5,40,10,,,,332,3
37,3,1,Present,1,8.15,2150,0,0,913,0,0,1,40,10,,,,2150,913
37,3,1,Present,1,,2150,0,0,913,0,0,2,40,10,,,,2150,913
37,3,1,Present,1,,2150,0,0,913,0,0,3,40,10,,,,2150,913
37,3,1,Present,1,,2150,0,0,913,0,0,4,40,10,,,,2150,913
37,3,1,Present,1,,2150,0,0,913,0,0,5,40,10,,,,2150,913
